material_id,plant_id,company_id,material_name,material_category,material_type,unit,recyclable,hazardous
M001,P001,C001,Steel Scrap,Metal,By-product,ton,No,Yes
M002,P001,C001,Fly Ash,Construction,Recycled Material,litre,Yes,No
M003,P001,C001,Wood Chips,Wood,By-product,litre,No,No
M004,P002,C002,Organic Compost,Organic,Recycled Material,piece,No,Yes
M005,P002,C002,Glass Scrap,Glass,Raw Material,kg,Yes,Yes
M006,P002,C002,Plastic Scrap,Plastic,By-product,kg,Yes,No
M007,P003,C003,Steel Scrap,Metal,Waste,piece,No,Yes
M008,P003,C003,Fly Ash,Construction,Recycled Material,kg,Yes,Yes
M009,P003,C003,Construction Debris,Construction,Raw Material,kg,Yes,Yes
M010,P003,C003,Wood Chips,Wood,By-product,ton,No,No
M011,P004,C004,Rubber Waste,Rubber,Raw Material,kg,Yes,Yes
M012,P004,C004,Aluminium Scrap,Metal,By-product,litre,No,Yes
M013,P004,C004,Steel Scrap,Metal,Waste,kg,Yes,Yes
M014,P005,C005,Cardboard,Paper,Raw Material,ton,No,Yes
M015,P005,C005,Cotton Fiber,Textile,Recycled Material,ton,No,No
M016,P006,C005,Cardboard,Paper,Raw Material,piece,Yes,Yes
M017,P006,C005,Plastic Scrap,Plastic,Raw Material,ton,No,Yes
M018,P006,C005,Textile Waste,Textile,Waste,litre,No,No
M019,P007,C006,Paper Waste,Paper,By-product,litre,Yes,No
M020,P007,C006,Plastic Scrap,Plastic,Raw Material,kg,No,Yes
M021,P007,C006,Metal Scrap,Metal,By-product,ton,No,Yes
M022,P007,C006,E-Waste,Electronic,By-product,piece,No,Yes
M023,P007,C006,Glass Scrap,Glass,Recycled Material,kg,Yes,No
M024,P008,C007,Wood Chips,Wood,Raw Material,kg,Yes,No
M025,P008,C007,Cardboard,Paper,Waste,litre,Yes,Yes
M026,P008,C007,Paper Waste,Paper,Waste,litre,No,Yes
M027,P009,C008,Wood Chips,Wood,Raw Material,kg,Yes,No
M028,P009,C008,Cotton Fiber,Textile,By-product,ton,No,No
M029,P009,C008,Food Waste,Organic,By-product,litre,No,No
M030,P009,C008,Organic Compost,Organic,Waste,litre,No,No
M031,P010,C008,Organic Compost,Organic,Recycled Material,piece,Yes,No
M032,P010,C008,Cotton Fiber,Textile,Raw Material,kg,No,No
M033,P011,C009,Metal Scrap,Metal,Waste,kg,No,No
M034,P011,C009,E-Waste,Electronic,By-product,kg,Yes,No
M035,P011,C009,Plastic Scrap,Plastic,Waste,litre,Yes,Yes
M036,P011,C009,Copper Scrap,Metal,Recycled Material,piece,No,No
M037,P012,C009,Plastic Scrap,Plastic,Recycled Material,ton,No,No
M038,P012,C009,Copper Scrap,Metal,Raw Material,piece,No,Yes
M039,P013,C010,Plastic Scrap,Plastic,Recycled Material,piece,Yes,Yes
M040,P013,C010,Paper Waste,Paper,By-product,piece,No,Yes
M041,P013,C010,Cardboard,Paper,By-product,litre,Yes,No
M042,P013,C010,Glass Scrap,Glass,Raw Material,ton,No,Yes
M043,P014,C011,Cotton Fiber,Textile,Raw Material,piece,No,Yes
M044,P014,C011,Food Waste,Organic,Raw Material,litre,No,Yes
M045,P014,C011,Wood Chips,Wood,Waste,litre,No,Yes
M046,P015,C012,Cardboard,Paper,Recycled Material,litre,Yes,Yes
M047,P015,C012,Wood Chips,Wood,Waste,piece,Yes,No
M048,P015,C012,Paper Waste,Paper,Raw Material,litre,Yes,No
M049,P016,C013,Metal Scrap,Metal,By-product,kg,No,Yes
M050,P016,C013,Fly Ash,Construction,By-product,kg,Yes,Yes
M051,P016,C013,E-Waste,Electronic,Waste,piece,No,Yes
M052,P016,C013,Copper Scrap,Metal,Waste,ton,Yes,Yes
M053,P017,C013,E-Waste,Electronic,By-product,piece,Yes,No
M054,P017,C013,Copper Scrap,Metal,Recycled Material,ton,Yes,No
M055,P017,C013,Metal Scrap,Metal,By-product,ton,No,Yes
M056,P017,C013,Fly Ash,Construction,Waste,litre,No,No
M057,P018,C014,Plastic Scrap,Plastic,Raw Material,piece,Yes,No
M058,P018,C014,Steel Scrap,Metal,Raw Material,kg,Yes,Yes
M059,P018,C014,Wood Chips,Wood,By-product,ton,Yes,Yes
M060,P019,C014,Steel Scrap,Metal,By-product,litre,No,Yes
M061,P019,C014,Metal Scrap,Metal,By-product,ton,No,Yes
M062,P019,C014,Wood Chips,Wood,By-product,piece,Yes,No
M063,P020,C014,Cardboard,Paper,Waste,piece,No,No
M064,P020,C014,Metal Scrap,Metal,By-product,ton,No,Yes
M065,P021,C015,Glass Scrap,Glass,By-product,piece,No,No
M066,P021,C015,Plastic Scrap,Plastic,Waste,ton,No,No
M067,P021,C015,Cardboard,Paper,Waste,ton,Yes,Yes
M068,P022,C015,Cardboard,Paper,Waste,litre,No,No
M069,P022,C015,Glass Scrap,Glass,Recycled Material,piece,No,Yes
M070,P022,C015,Paper Waste,Paper,By-product,kg,No,Yes
M071,P023,C016,Rubber Waste,Rubber,Recycled Material,litre,No,No
M072,P023,C016,Plastic Scrap,Plastic,Waste,piece,No,Yes
M073,P023,C016,Textile Waste,Textile,Waste,ton,Yes,No
M074,P024,C016,Rubber Waste,Rubber,Waste,ton,No,Yes
M075,P024,C016,Textile Waste,Textile,Waste,ton,No,No
M076,P024,C016,Plastic Scrap,Plastic,Waste,piece,No,Yes
M077,P025,C017,Cardboard,Paper,Waste,litre,No,No
M078,P025,C017,Glass Scrap,Glass,Recycled Material,kg,Yes,Yes
M079,P025,C017,Plastic Scrap,Plastic,Recycled Material,ton,No,No
M080,P025,C017,Organic Compost,Organic,By-product,ton,No,No
M081,P025,C017,Food Waste,Organic,By-product,ton,No,No
M082,P026,C017,Organic Compost,Organic,By-product,ton,Yes,No
