transaction_id,request_id,waste_id,buyer_company_id,seller_company_id,transaction_date,final_quantity,final_price_per_unit,transport_cost,carbon_saving_kg,delivery_status,payment_status
TRX00001,REQ00001,WST00001,C046,C001,2026-09-05,2635.02,46.05,45650.26,4689.78,Delivered,Paid
TRX00002,REQ00003,WST00001,C037,C001,2026-06-16,1653.79,47.15,20208.16,1429.96,Delivered,Pending
TRX00003,REQ00006,WST00002,C023,C001,2026-07-25,3746.81,209.3,56912.36,2797.12,Delivered,Paid
TRX00004,REQ00007,WST00002,C057,C001,2026-09-03,2238.89,192.08,25184.08,1938.17,Delivered,Pending
TRX00005,REQ00010,WST00003,C050,C001,2026-08-25,177.09,329.61,4360.41,315.1,Delivered,Paid
TRX00006,REQ00021,WST00005,C014,C001,2026-06-08,3733.72,316.51,68918.36,5255.51,Delivered,Pending
TRX00007,REQ00022,WST00005,C037,C001,2026-06-21,1520.88,296.94,18282.82,3034.01,Delivered,Pending
TRX00008,REQ00028,WST00007,C033,C002,2026-07-07,3185.49,394.68,76724.13,7337.61,Delivered,Paid
TRX00009,REQ00029,WST00007,C026,C002,2026-08-10,3789.87,373.04,54314.88,5887.44,Delivered,Paid
TRX00010,REQ00030,WST00007,C022,C002,2026-09-20,1753.28,327.07,19864.46,4310.48,Delivered,Paid
TRX00011,REQ00033,WST00008,C019,C002,2026-07-20,4680.15,16.84,54851.42,10771.58,Delivered,Paid
TRX00012,REQ00038,WST00009,C058,C002,2026-09-15,387.25,165.67,7590.09,218.56,Delivered,Paid
TRX00013,REQ00039,WST00009,C027,C002,2026-06-08,529.74,168.84,10559.69,1099.01,Delivered,Partially Paid
TRX00014,REQ00040,WST00009,C050,C002,2026-08-15,373.59,189.97,7118.8,441.63,In Transit,Paid
TRX00015,REQ00044,WST00010,C034,C002,2026-06-06,2769.37,347.59,40555.38,5182.21,Scheduled,Paid
TRX00016,REQ00045,WST00010,C010,C002,2026-09-01,898.53,360.09,13471.26,2102.38,Delivered,Paid
TRX00017,REQ00047,WST00011,C054,C002,2026-06-13,1082.01,427.49,19094.36,2640.51,Delivered,Paid
TRX00018,REQ00048,WST00011,C037,C002,2026-09-16,851.26,382.43,17426.77,525.42,In Transit,Paid
TRX00019,REQ00049,WST00011,C016,C002,2026-07-20,782.76,364.28,13125.4,1384.51,Delivered,Paid
TRX00020,REQ00061,WST00015,C022,C003,2026-07-22,2070.91,360.64,36009.42,3982.98,In Transit,Pending
TRX00021,REQ00063,WST00015,C028,C003,2026-07-27,1582.57,330.83,27266.28,1600.17,In Transit,Pending
